2,1
3,7
6,8
7,16
9,19
18,20
25,23
27,111
54,112
73,115
97,118
129,121
171,124
231,127
313,130
327,143
649,144
703,170
871,178
1161,181
2223,182
2463,208
2919,216
3711,237
6171,261
10971,267
13255,275
17647,278
23529,281
26623,307
34239,310
35655,323
52527,339
77031,350
106239,353
142587,374
156159,382
216367,385
230631,442
410011,448
511935,469
837799,524
1117065,527
2234130,528
2978841,531
3433215,586
5425327,597
5649499,612
7532665,615
10043553,618
18064027,622
21409215,630
23682175,641
31576233,644
40096999,649
46340775,690
52970523,746
62779879,754
83706505,757
111608673,760
176369263,771
185804655,784
264733833,787
